time_milli,total,unsolicited,schedule1,candidates,schedule2
1189029,8,6,4,2,2
1191067,8,0,4,4,4
1191632,8,7,4,1,1
1193345,8,0,4,4,4
1194436,8,7,4,1,1
1196962,8,0,4,4,4
1199273,8,0,4,4,4
1201756,8,0,4,4,4
1203328,8,7,4,1,1
1205163,8,0,4,4,4
1207686,8,0,4,4,4
1209302,8,0,4,4,4
1210321,8,6,4,2,2
1213106,8,0,4,4,4
1213545,8,7,4,1,1
1217386,8,0,4,4,4
1217852,8,6,4,2,2
1222539,8,0,4,4,4
1223023,8,7,4,1,1
1225928,8,0,4,4,4
1228008,8,7,4,1,1
1229867,8,0,4,4,4
1230979,8,7,4,1,1
1233980,8,0,4,4,4
1234473,8,6,4,2,2
1236805,8,0,4,4,4
1237543,8,6,4,2,2
1242324,8,0,4,4,4
1244714,8,4,4,4,4
1248616,8,0,4,4,4
1248792,8,5,4,3,2
1252619,8,0,4,4,4
1253567,8,6,4,2,2
1257231,8,0,4,4,4
1257706,8,6,4,2,2
1263457,8,0,4,4,4
1264494,8,6,4,2,2
1270302,8,0,4,4,4
1270544,8,4,4,4,4
1275642,8,0,4,4,4
1276126,8,4,4,4,4
1283576,8,0,4,4,4
1285448,8,4,4,4,4
1296571,8,0,4,4,4
1299222,8,3,4,4,4
1304740,8,0,4,4,4
1306984,8,3,4,4,4
1316824,8,0,4,4,4
1317317,8,4,4,4,4
1329411,8,0,4,4,4
1331875,8,3,4,4,4
1338001,8,0,4,4,4
1340470,8,4,4,4,4
1351335,8,0,4,4,4
1355140,8,4,4,4,4
1359252,8,0,4,4,4
1362358,8,5,4,3,2
1369577,8,0,4,4,4
1371131,8,3,4,4,4
1378744,8,0,4,4,4
1382921,8,2,4,4,4
1396270,8,0,4,4,4
1399500,8,4,4,4,4
1409869,8,0,4,4,4
1411976,8,5,4,3,2
1418601,8,0,4,4,4
1420409,8,5,4,3,2
1434278,8,0,4,4,4
1436412,8,3,4,4,4
1445623,8,0,4,4,4
1446334,8,2,4,4,4
1455843,8,0,4,4,4
1461898,8,3,4,4,4
1502847,8,0,4,4,4
1512141,8,1,4,4,4
1525167,8,0,4,4,4
1528294,8,0,4,4,4
1557143,8,0,4,4,4
1569095,8,0,4,4,4
1595257,8,0,4,4,4
1616386,8,0,4,4,4
1636738,8,0,4,4,4
1639036,8,0,4,4,4
1669417,8,0,4,4,4
1671099,8,1,4,4,4
1690321,8,0,4,4,4
1694754,8,1,4,4,4
1716372,8,0,4,4,4
1718505,8,1,4,4,4
1726656,8,0,4,4,4
1727738,8,2,4,4,4
1738452,8,0,4,4,4
1740320,8,4,4,4,4
1749527,8,0,4,4,4
1750564,8,2,4,4,4
1760274,8,0,4,4,4
1762722,8,5,4,3,2
1773126,8,0,4,4,4
1776127,8,5,4,3,2
1778381,8,0,4,4,4
1779744,8,3,4,4,4
1787200,8,0,4,4,4
1787675,8,2,4,4,4
1810666,8,0,4,4,4
1811114,8,1,4,4,4
1824149,8,0,4,4,4
1824705,8,2,4,4,4
1838507,8,0,4,4,4
1844878,8,0,4,4,4
1865531,8,0,4,4,4
1865997,8,3,4,4,4
1872298,8,0,4,4,4
1872959,8,3,4,4,4
1880679,8,0,4,4,4
1881444,8,3,4,4,4
1892813,8,0,4,4,4
1899058,8,1,4,4,4
1901510,8,0,4,4,4
1908775,8,3,4,4,4
1917014,8,0,4,4,4
1920835,8,0,4,4,4
1925156,8,0,4,4,4
1926502,8,2,4,4,4
1940242,8,0,4,4,4
1945338,8,4,4,4,4
1957822,8,0,4,4,4
1959050,8,0,4,4,4
1967273,8,0,4,4,4
1972256,8,0,4,4,4
1975092,8,0,4,4,4
1978753,8,2,4,4,4
1983918,8,0,4,4,4
1987074,8,4,4,4,4
1994528,8,0,4,4,4
1996371,8,5,4,3,2
2004647,8,0,4,4,4
2006339,8,2,4,4,4
2010743,8,0,4,4,4
2017161,8,3,4,4,4
2033928,8,0,4,4,4
2034412,8,3,4,4,4
2037959,8,0,4,4,4
2039840,8,5,4,3,2
2048910,8,0,4,4,4
2049594,8,6,4,2,2
2054891,8,0,4,4,4
2056754,8,3,4,4,4
2058319,8,0,4,4,4
2060731,8,3,4,4,4
2068648,8,0,4,4,4
2070228,8,5,4,3,2
2074494,8,0,4,4,4
2078190,8,5,4,3,2
2084733,8,0,4,4,4
2087411,8,3,4,4,4
2097107,8,0,4,4,4
2098670,8,6,4,2,2
2102380,8,0,4,4,4
2103417,8,7,4,1,1
2105832,8,0,4,4,4
2107368,8,7,4,1,1
2108312,8,0,4,4,4
2110937,8,0,4,4,4
2112808,8,0,4,4,4
2113274,8,5,4,3,2
2116253,8,0,4,4,4
2116591,8,7,4,1,1
2119019,8,0,4,4,4
2121153,8,6,4,2,2
2124689,8,0,4,4,4
2126805,8,7,4,1,1
2129602,8,0,4,4,4
2132226,8,0,4,4,4
2132674,8,6,4,2,2
2136175,8,0,4,4,4
2137565,8,2,4,4,4
2145378,8,0,4,4,4
2147431,8,4,4,4,4
2149805,8,0,4,4,4
2151256,8,5,4,3,2
2157440,8,0,4,4,4
2157888,8,6,4,2,2
2162686,8,0,4,4,4
2165030,8,6,4,2,2
2169490,8,0,4,4,4
2169947,8,2,4,4,4
2177089,8,0,4,4,4
2178144,8,3,4,4,4
2185589,8,0,4,4,4
2190477,8,6,4,2,2
2197392,8,0,4,4,4
2201187,8,2,4,4,4
2206710,8,0,4,4,4
2208318,8,3,4,4,4
2211992,8,0,4,4,4
2213609,8,5,4,3,2
2218638,8,0,4,4,4
2219487,8,6,4,2,2
2224794,8,0,4,4,4
2230900,8,3,4,4,4
2241724,8,0,4,4,4
2243296,8,2,4,4,4
2252042,8,0,4,4,4
2253952,8,5,4,3,2
2261108,8,0,4,4,4
2262265,8,2,4,4,4
2269587,8,0,4,4,4
2271132,8,3,4,4,4
2282610,8,0,4,4,4
2291868,8,1,4,4,4
2296555,8,0,4,4,4
2297030,8,4,4,4,4
2302281,8,0,4,4,4
2306203,8,4,4,4,4
2310933,8,0,4,4,4
2311952,8,5,4,3,2
2315898,8,0,4,4,4
2316825,8,2,4,4,4
2317796,8,0,4,4,4
2318235,8,4,4,4,4
2321623,8,0,4,4,4
2322062,8,6,4,2,2
2325798,8,0,4,4,4
2326237,8,5,4,3,2
2329194,8,0,4,4,4
2330802,8,4,4,4,4
2334735,8,0,4,4,4
2337187,8,6,4,2,2
2338075,8,0,4,4,4
2339674,8,6,4,2,2
2341988,8,0,4,4,4
2343596,8,7,4,1,1
2344829,8,0,4,4,4
2346370,8,0,4,4,4
2348759,8,7,4,1,1
2351425,8,0,4,4,4
2352480,8,7,4,1,1
2355564,8,0,4,4,4
2356030,8,5,4,3,2
2359336,8,0,4,4,4
2360944,8,5,4,3,2
2363324,8,0,4,4,4
2363826,8,6,4,2,2
2369395,8,0,4,4,4
2370821,8,5,4,3,2
2373146,8,0,4,4,4
2377728,8,4,4,4,4
2382114,8,0,4,4,4
2382607,8,5,4,3,2
2389701,8,0,4,4,4
2391237,8,6,4,2,2
2393812,8,0,4,4,4
2396294,8,1,4,4,4
2402933,8,0,4,4,4
2404072,8,3,4,4,4
2409935,8,0,4,4,4
2411281,8,6,4,2,2
2415799,8,0,4,4,4
2416791,8,6,4,2,2
2420976,8,0,4,4,4
