mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,40,800,2.00107,client1,18
5,40,800,4.87872,client2,18
5,40,800,4.63232,client3,18
5,40,800,3.23979,client4,18
5,40,800,2.77685,client5,18
5,40,800,4.59013,client6,18
5,40,800,4.73051,client7,18
5,40,800,3.52501,client8,18
5,40,800,4.56773,client9,18
5,40,800,5.73888,client10,18
5,40,800,4.75328,client11,18
5,40,800,1.35557,client12,18
5,40,800,5.09563,client13,18
5,40,800,1.58592,client14,18
5,40,800,1.84277,client15,18
5,40,800,3.20432,client16,18
5,40,800,5.28304,client17,18
5,40,800,2.60661,client18,18
