mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,80,3200,6.636,client1,16
5,80,3200,5.57648,client2,16
5,80,3200,6.88912,client3,16
5,80,3200,7.42224,client4,16
5,80,3200,7.97664,client5,16
5,80,3200,5.48128,client6,16
5,80,3200,6.14992,client7,16
5,80,3200,4.1384,client8,16
5,80,3200,7.28896,client9,16
5,80,3200,6.56544,client10,16
5,80,3200,6.9664,client11,16
5,80,3200,7.26768,client12,16
5,80,3200,6.66512,client13,16
5,80,3200,6.04912,client14,16
5,80,3200,6.97984,client15,16
5,80,3200,5.97072,client16,16
5,80,1600,5.0064,client1,16
5,80,1600,5.60336,client2,16
5,80,1600,6.23504,client3,16
5,80,1600,6.8264,client4,16
5,80,1600,5.92032,client5,16
5,80,1600,7.40096,client6,16
5,80,1600,6.33696,client7,16
5,80,1600,5.85424,client8,16
5,80,1600,7.1456,client9,16
5,80,1600,6.04464,client10,16
5,80,1600,6.54752,client11,16
5,80,1600,6.42768,client12,16
5,80,1600,6.98768,client13,16
5,80,1600,6.0592,client14,16
5,80,1600,6.55648,client15,16
5,80,1600,6.46576,client16,16
5,80,800,7.70112,client1,16
5,80,800,7.756,client2,16
5,80,800,7.48048,client3,16
5,80,800,7.31808,client4,16
5,80,800,7.28448,client5,16
5,80,800,6.57776,client6,16
5,80,800,7.57232,client7,16
5,80,800,7.40992,client8,16
5,80,800,7.5936,client9,16
5,80,800,6.9384,client10,16
5,80,800,5.9136,client11,16
5,80,800,7.44576,client12,16
5,80,800,8.07072,client13,16
5,80,800,7.26992,client14,16
5,80,800,7.75712,client15,16
5,80,800,6.7144,client16,16
