mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,80,3200,7.06608,client1,17
5,80,3200,6.80176,client2,17
5,80,3200,5.85312,client3,17
5,80,3200,6.33584,client4,17
5,80,3200,3.2648,client5,17
5,80,3200,5.61904,client6,17
5,80,3200,5.97968,client7,17
5,80,3200,4.7992,client8,17
5,80,3200,4.90224,client9,17
5,80,3200,6.79504,client10,17
5,80,3200,6.94064,client11,17
5,80,3200,6.81856,client12,17
5,80,3200,6.16672,client13,17
5,80,3200,4.88096,client14,17
5,80,3200,5.9752,client15,17
5,80,3200,6.85552,client16,17
5,80,3200,6.08608,client17,17
5,80,1600,5.26176,client1,17
5,80,1600,6.32688,client2,17
5,80,1600,5.81504,client3,17
5,80,1600,4.0096,client4,17
5,80,1600,5.95392,client5,17
5,80,1600,6.76256,client6,17
5,80,1600,5.58992,client7,17
5,80,1600,5.93152,client8,17
5,80,1600,6.97872,client9,17
5,80,1600,6.69312,client10,17
5,80,1600,5.7288,client11,17
5,80,1600,6.39296,client12,17
5,80,1600,5.2248,client13,17
5,80,1600,6.53408,client14,17
5,80,1600,5.89344,client15,17
5,80,1600,4.96832,client16,17
5,80,1600,6.28208,client17,17
5,80,800,5.83744,client1,17
5,80,800,7.1904,client2,17
5,80,800,6.06144,client3,17
5,80,800,6.69984,client4,17
5,80,800,7.672,client5,17
5,80,800,6.29328,client6,17
5,80,800,6.54976,client7,17
5,80,800,7.01568,client8,17
5,80,800,6.35712,client9,17
5,80,800,6.24848,client10,17
5,80,800,5.83856,client11,17
5,80,800,7.17248,client12,17
5,80,800,6.97872,client13,17
5,80,800,7.25872,client14,17
5,80,800,6.68304,client15,17
5,80,800,6.62032,client16,17
5,80,800,7.22064,client17,17
