mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,80,3200,15.409,client1,8
5,80,3200,13.9216,client2,8
5,80,3200,15.0472,client3,8
5,80,3200,14.0291,client4,8
5,80,3200,14.6675,client5,8
5,80,3200,12.2528,client6,8
5,80,3200,14.7683,client7,8
5,80,3200,15.2275,client8,8
5,80,1600,14.3472,client1,8
5,80,1600,14.2509,client2,8
5,80,1600,14.3864,client3,8
5,80,1600,15.1357,client4,8
5,80,1600,15.1928,client5,8
5,80,1600,15.9309,client6,8
5,80,1600,13.9966,client7,8
5,80,1600,14.8109,client8,8
5,80,800,16.604,client1,8
5,80,800,16.3666,client2,8
5,80,800,17.2211,client3,8
5,80,800,17.0206,client4,8
5,80,800,15.5098,client5,8
5,80,800,14.4973,client6,8
5,80,800,17.2368,client7,8
5,80,800,16.8706,client8,8
